trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-117.75314595612467,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-136.15592752280256,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842925}",20,0,-99.82102529228426,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,0,-60.14101119832972,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-79.62077320082939,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-74.19642230854052,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-53.962379900997526,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-30.968541466103492,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-221.57120789106267,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-16.61081390565946,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,0,-75.77718647842472,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-115.58420168275741,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-38.749256753953865,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,8,-98.38793394438802,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-58.016765008208644,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,3.4381126031852336,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,18,-7.80232431128763,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,8,-4.6065297882506435,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,0,-65.28815664928597,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",35,6,-31.48918613536742,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,5,-4.253964687372096,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,10,11.709642056394863,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,19,-14.440640105302807,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-54.62346375578113,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,2,-91.69263918568319,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-38.64448414046487,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,8,-34.51346742282098,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,2,-79.980264882344,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,14,-0.9196010335535507,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,2,-44.007703791962996,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,-30.0025034348478,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,2,-67.57022440130991,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-56.99494712307781,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,3,-33.97932966626244,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,15,-60.00145226329436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-55.215159851733816,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,13,-28.851458449023607,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-11.791120697422254,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
